Document identifier,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
Aberdeen-0001,0.0012043751,0.0009693438,0.0003192002,0.0001123768,0.0010896438,0.2138852602,0.0005547322,0.0019981215,0.0003799558,0.0004332676,0.0003190884,0.000808106,0.0007086112,0.0012199816,0.0004420859,0.0005977444,0.0004423765,0.0004899098,0.0490583452,0.1985244104,0.0004796902,0.5198418704,0.0009915059,0.0008565383,0.0004859372,0.0005224204,0.0010519059,0.0012975227,0.0004876604,0.0004280122
Aberdeen-0002,0.0011354726,0.0009138875,0.0003009387,0.0001059477,0.0010273051,0.2731615486,0.0148255355,0.059093967,0.0003582185,0.0004084803,0.0003008333,0.0007618741,0.0006680714,0.0011501863,0.0004167941,0.0005635473,0.0147196077,0.000461882,0.1034618679,0.0727464807,0.0004522471,0.4471940159,0.0009347817,0.0008075356,0.0004581366,0.0004925327,0.0009917262,0.0012232912,0.0004597612,0.0004035256
Ash(Bion)-0001,0.0011194615,0.0009010009,0.0002966952,0.0001044538,0.0151136806,0.0013933677,0.0005156212,0.0018572453,0.0003531673,0.0004027204,0.0002965913,0.000751131,0.2685750188,0.0011339676,0.0004109169,0.0005556008,0.0004111871,0.0004553691,0.2994150268,0.2127293073,0.00044587,0.1870726887,0.0009216004,0.0007961487,0.0004516765,0.0004855875,0.000977742,0.0012060418,0.0004532782,0.0003978355
Ash(Bion)-0002,0.0008276848,0.0006661638,0.0002193645,7.72289124824001E-005,0.1467073716,0.0010302,0.0003812296,0.0847780489,0.0002611177,0.0002977553,0.0002192877,0.000555356,0.3758089242,0.0112640196,0.0003038154,0.0004107889,0.0003040152,0.0003366816,0.1379705462,0.0008993464,0.0003296583,0.2321445044,0.0006813943,0.0005886403,0.0003339514,0.0003590239,0.0007229031,0.0008916988,0.0003351357,0.0002941436
Ash(Bion)-0003,0.0011519484,0.0009271481,0.0003053054,0.000107485,0.0010422113,0.0739841556,0.0005305846,0.1325017768,0.0003634163,0.0004144074,0.0003051984,0.0297930698,0.1602885401,0.0011668755,0.0004228418,0.0005717244,0.0004231198,0.0004685839,0.0033926137,0.2043926713,0.0004588092,0.3811324803,0.0009483454,0.000819253,0.0004647842,0.0004996793,0.0010061162,0.0012410413,0.0004664324,0.0004093807
Ash(Bion)-0004,0.0428182713,0.0008884727,0.0002925698,0.0001030014,0.0009987361,0.0013739932,0.0005084516,0.0018314207,0.0003482566,0.0003971206,0.0002924673,0.0980742301,0.0006494926,0.0011182001,0.0004052032,0.0005478753,0.0004054696,0.0004490373,0.0032510929,0.0011994718,0.0004396703,0.4347577364,0.0009087858,0.0007850784,0.000445396,0.3759082173,0.0009641467,0.0289988558,0.0004469755,0.0003923037
Ash(L&C)-0001,0.5930313831,0.001641848,0.0005406526,0.0001903408,0.0018456087,0.028234343,0.0009395902,0.0033843633,0.0006435588,0.0007338568,0.0005404632,0.0013687477,0.0782860669,0.0020663714,0.0007487929,0.001012443,0.0007492852,0.0008297958,0.2629606409,0.002216557,0.0008124862,0.0068543707,0.0016793855,0.0014507811,0.000823067,0.0008848614,0.0017816893,0.0021977084,0.0008259857,0.0007249553
Ash(mask)-0001,0.0010188908,0.0008200564,0.0002700406,9.50698043896418E-005,0.0009218291,0.0141022518,0.0004692986,0.630559438,0.0003214393,0.0003665406,0.000269946,0.0006836506,0.0005994789,0.0010320938,0.0003740008,0.0005056865,0.3340598622,0.0004144594,0.0030007446,0.0011071072,0.0004058137,0.0034235633,0.0008388053,0.0007246239,0.0004110986,0.0004419631,0.0008899032,0.0010976929,0.0004125564,0.0003620946
Ash(mask)-0002,0.000810779,0.0006525572,0.0002148839,7.5651486755309E-005,0.0007335425,0.0010091578,0.0003734428,0.3179376806,0.0002557843,0.0002916735,0.0002148087,0.0005440127,0.0004770333,0.0008212853,0.0002976099,0.0004023984,0.0002978056,0.0003298047,0.0023878327,0.000880977,0.000322925,0.0027242894,0.6644905771,0.0005766171,0.0003271304,0.0003516907,0.0007081376,0.0008734855,0.0003282904,0.0002881356
Ash(mask)-0003,0.0013249781,0.0010664114,0.0003511641,0.9347396772,0.0011987579,0.0016491695,0.0006102817,0.0021982082,0.0004180036,0.0004766539,0.0003510411,0.0008890276,0.0007795697,0.0013421474,0.0004863552,0.000657601,0.000486675,0.0339181127,0.0039022052,0.0014396958,0.0005277252,0.0044520439,0.0010907927,0.0009423099,0.0005345977,0.0005747343,0.001157241,0.0014274533,0.0005364934,0.0004708722
